zone,referee_name,feature,slope,se,pvalue,significant
zone_0_0,Andrés Cunha,ppda,19.30696697060458,31.378603404508354,0.5383626715830345,False
zone_0_0,Antonio Miguel Mateu Lahoz,ppda,18.22571133902699,31.14674277631346,0.558442656330718,False
zone_0_0,Björn Kuipers,ppda,16.9352808789009,30.96796482765742,0.5844718202573773,False
zone_0_0,Carlos del Cerro Grande,ppda,3.164488675283697,56250.66025677809,0.9999551134752199,False
zone_0_0,César Arturo Ramos Palazuelos,ppda,19.351521417066706,264918.5780331741,0.9999417168842305,False
zone_0_0,Cüneyt Çakιr,ppda,17.78836876852908,313171.92180673545,0.9999546796382232,False
zone_0_0,Damir Skomina,ppda,14.407828640041183,31.34046284892927,0.6457174168008537,False
zone_0_0,Gianluca Rocchi,ppda,-75.20759556960355,102569.62897299623,0.9994149635268844,False
zone_0_0,Guillermo Cuadra Fernández,ppda,16.553615212256194,31.305808611054616,0.5969640628394279,False
zone_0_0,Malang Diedhiou,ppda,17.978212927902398,31.117887906965027,0.5634361024357217,False
zone_0_0,Mark Geiger,ppda,125.03291713040741,150213.67129321536,0.9993358672230571,False
zone_0_0,Milorad Mažić,ppda,12.616505242446864,31.567176249455517,0.6893983797427097,False
zone_0_0,Néstor Fabián Pitana,ppda,18.83420155212718,31.22489530482821,0.5463896072057475,False
zone_0_0,Sandro Ricci,ppda,16.854116298738163,30.845530166249816,0.5847883673336302,False
zone_0_1,Andrés Cunha,ppda,-36.29134493645588,177540.038995457,0.9998369026852886,False
zone_0_1,Antonio Miguel Mateu Lahoz,ppda,-36.34523174961233,177540.0389911459,0.9998366605119946,False
zone_0_1,Björn Kuipers,ppda,-37.07935523076532,177540.038998439,0.9998333612799964,False
zone_0_1,Carlos del Cerro Grande,ppda,-32.499070386591136,183512.3516179543,0.9998586988497628,False
zone_0_1,César Arturo Ramos Palazuelos,ppda,-35.62526965233421,321831.60909548285,0.9999116778720031,False
zone_0_1,Cüneyt Çakιr,ppda,-37.90414283800455,177540.03901087114,0.9998296545934109,False
zone_0_1,Damir Skomina,ppda,-37.07747068465617,177540.0390008691,0.9998333697493571,False
zone_0_1,Gianluca Rocchi,ppda,40.191471274701456,223782.96316610224,0.9998566997514916,False
zone_0_1,Guillermo Cuadra Fernández,ppda,-36.281186163322815,209393.35117345268,0.9998617520662416,False
zone_0_1,Malang Diedhiou,ppda,-65.2201184008654,203907.85340827177,0.9997447958782917,False
zone_0_1,Mark Geiger,ppda,-36.540511933895,177540.03900068914,0.9998357829012872,False
zone_0_1,Milorad Mažić,ppda,-37.794500413824046,322587.90361837944,0.9999065195937101,False
zone_0_1,Néstor Fabián Pitana,ppda,-30.827788322930587,177540.03904172088,0.9998614565122564,False
zone_0_1,Sandro Ricci,ppda,-38.78129439086713,177540.03900298467,0.9998257125774551,False
zone_0_2,Andrés Cunha,ppda,7.4381144986948,6622.1647460898785,0.9991038043148045,False
zone_0_2,Antonio Miguel Mateu Lahoz,ppda,3.2232078728986595,9.48551164311505,0.7340046852773712,False
zone_0_2,Björn Kuipers,ppda,2.7221160256356938,9.457270874342742,0.7734744639282539,False
zone_0_2,Carlos del Cerro Grande,ppda,8.003598846960204,39858.137931330144,0.9998397830847258,False
zone_0_2,César Arturo Ramos Palazuelos,ppda,4.535547961699699,322583.62620019075,0.9999887816882217,False
zone_0_2,Cüneyt Çakιr,ppda,-1.348847894305286,10.615987580876793,0.8988943630747241,False
zone_0_2,Damir Skomina,ppda,-43.11829046828221,80002.10248529735,0.9995699685943431,False
zone_0_2,Gianluca Rocchi,ppda,-2.2377305784852886,101124.52306019234,0.9999823440385612,False
zone_0_2,Guillermo Cuadra Fernández,ppda,74.21140251829931,58017.01440175093,0.9989794008401066,False
zone_0_2,Malang Diedhiou,ppda,24.798710177224205,85461.66388177012,0.9997684750471517,False
zone_0_2,Mark Geiger,ppda,6.366836164863767,9.695540781530605,0.5113887901684135,False
zone_0_2,Milorad Mažić,ppda,-1.5204433428892092,11.700493245557803,0.8966084030378152,False
zone_0_2,Néstor Fabián Pitana,ppda,4.069483967385955,9.508406988968106,0.6686598664490162,False
zone_0_2,Sandro Ricci,ppda,65.76795993586936,211775.00753925476,0.9997522123144058,False
