zone,referee_name,feature,slope,se,pvalue,significant
zone_0_0,Andrés Cunha,directness,1.5449931069930893,2.1817815421945763,0.47886221345338054,False
zone_0_0,Antonio Miguel Mateu Lahoz,directness,-0.16476662038254375,1.655140416846679,0.9207028418302106,False
zone_0_0,Björn Kuipers,directness,0.23710492699442903,1.1556026359447469,0.8374325911925479,False
zone_0_0,Carlos del Cerro Grande,directness,-3.413496070963141,725308.7004999778,0.9999962449425859,False
zone_0_0,César Arturo Ramos Palazuelos,directness,0.2691986087162179,113565.79762591417,0.9999981086786852,False
zone_0_0,Cüneyt Çakιr,directness,-0.42484303692108943,114126.86418378839,0.9999970298342783,False
zone_0_0,Damir Skomina,directness,-0.20313336074679741,2.0766873671917425,0.9220783603792426,False
zone_0_0,Gianluca Rocchi,directness,119.95352706278453,127440.28488254607,0.999248989020912,False
zone_0_0,Guillermo Cuadra Fernández,directness,1.757700748491146,3.404120498333036,0.6056134413619934,False
zone_0_0,Malang Diedhiou,directness,-1.3165362360841102,1.8609992834003635,0.4792961234969909,False
zone_0_0,Mark Geiger,directness,-81.72253752661068,333290.3529300435,0.9998043593229282,False
zone_0_0,Milorad Mažić,directness,-2.0546168154800863,4.061850673776056,0.6129741141602445,False
zone_0_0,Néstor Fabián Pitana,directness,0.1434674975365672,1.336882151083351,0.9145390912185466,False
zone_0_0,Sandro Ricci,directness,0.8253042839111304,1.3165835736021985,0.5307556375191356,False
zone_0_1,Andrés Cunha,directness,118.03878030070665,113572.5957677445,0.9991707391841705,False
zone_0_1,Antonio Miguel Mateu Lahoz,directness,119.52453464218374,113572.59577026792,0.9991603012806276,False
zone_0_1,Björn Kuipers,directness,117.57940219263459,113572.59576853082,0.9991739664636122,False
zone_0_1,Carlos del Cerro Grande,directness,-87.27996309904306,626713.5942735274,0.9998888817229507,False
zone_0_1,César Arturo Ramos Palazuelos,directness,118.90453591179157,163032.8374558972,0.9994180799004472,False
zone_0_1,Cüneyt Çakιr,directness,115.71686546333554,113572.59582100034,0.9991870513856305,False
zone_0_1,Damir Skomina,directness,118.08635688706005,113572.59576945251,0.9991704049433132,False
zone_0_1,Gianluca Rocchi,directness,88.29272450098176,134609.54815023913,0.9994766537914492,False
zone_0_1,Guillermo Cuadra Fernández,directness,117.74394499128974,209386.01973912807,0.999551325962438,False
zone_0_1,Malang Diedhiou,directness,138.52567039008906,148394.94319720578,0.9992551802962734,False
zone_0_1,Mark Geiger,directness,118.67826660351163,113572.59577082809,0.9991662465865966,False
zone_0_1,Milorad Mažić,directness,117.85099977302731,182192.13198542164,0.9994838883237601,False
zone_0_1,Néstor Fabián Pitana,directness,110.75088373076811,113572.59589242414,0.9992219390115662,False
zone_0_1,Sandro Ricci,directness,119.25291243419126,113572.59576904327,0.9991622095142458,False
zone_0_2,Andrés Cunha,directness,-38.06670029616771,76789.79472635454,0.9996044678682725,False
zone_0_2,Antonio Miguel Mateu Lahoz,directness,-0.12234196136610567,1.4297530723637717,0.9318093645538738,False
zone_0_2,Björn Kuipers,directness,1.435555155362293,1.866785097572125,0.4418941324704121,False
zone_0_2,Carlos del Cerro Grande,directness,-206.14011730907313,529261.4584296381,0.9996892348570166,False
zone_0_2,César Arturo Ramos Palazuelos,directness,-0.41053873521191847,153095.71332459268,0.9999978604069877,False
zone_0_2,Cüneyt Çakιr,directness,1.2465035742765678,1.459393347769843,0.3930360251875339,False
zone_0_2,Damir Skomina,directness,-48.70743251876592,78175.89380731758,0.9995028786497218,False
zone_0_2,Gianluca Rocchi,directness,-20.104342481377337,70698.01904814717,0.9997731061708551,False
zone_0_2,Guillermo Cuadra Fernández,directness,-230.14512663319954,191022.14586620545,0.9990387020414463,False
zone_0_2,Malang Diedhiou,directness,49.79002360763864,100232.52110668564,0.9996036546916498,False
zone_0_2,Mark Geiger,directness,-0.8983918661325754,2.0705389197511446,0.6643663106157519,False
zone_0_2,Milorad Mažić,directness,-3.7518586003958703,3.7354002032975875,0.31518293029416966,False
zone_0_2,Néstor Fabián Pitana,directness,-0.7746893940646736,1.2196154198601026,0.5253035016224468,False
zone_0_2,Sandro Ricci,directness,1.7331358349971728,73093.7086937001,0.9999810812401081,False
zone_1_0,Andrés Cunha,directness,-0.5107409379354342,0.8420235557397832,0.5441404850750639,False
zone_1_0,Antonio Miguel Mateu Lahoz,directness,0.045764398854482184,0.8883519104316466,0.9589142971578333,False
zone_1_0,Björn Kuipers,directness,-0.09234452604888156,0.8852005701219867,0.9169150459071072,False
zone_1_0,Carlos del Cerro Grande,directness,-9.60575859878931,6.80593427698607,0.15813263683004186,False
zone_1_0,César Arturo Ramos Palazuelos,directness,0.5716544493777121,1.2148432412413788,0.6379562632501709,False
zone_1_0,Cüneyt Çakιr,directness,-0.17284234818857655,0.8670397775558228,0.8419908022907022,False
zone_1_0,Damir Skomina,directness,-1.2305997649941793,1.0040619392708385,0.22034119387908724,False
zone_1_0,Gianluca Rocchi,directness,0.2929421011639065,1.1396787671963775,0.7971485239849851,False
zone_1_0,Guillermo Cuadra Fernández,directness,-222.31931952726143,179909.01010988027,0.9990140287728494,False
zone_1_0,Malang Diedhiou,directness,-2.293057115932302,2.124666310482054,0.28047398827888725,False
zone_1_0,Mark Geiger,directness,0.7956491350268355,1.3788047269095434,0.5639008451822237,False
zone_1_0,Milorad Mažić,directness,0.9536344141938464,1.0354250872682476,0.35704643917735257,False
zone_1_0,Néstor Fabián Pitana,directness,0.025557143110472004,0.7860756039120943,0.9740634897310534,False
zone_1_0,Sandro Ricci,directness,-0.7521595540917153,0.8800435149253032,0.3927258320713656,False
zone_1_1,Andrés Cunha,directness,0.3087053863097498,0.8421212401995338,0.7139318132140658,False
zone_1_1,Antonio Miguel Mateu Lahoz,directness,-0.3390839670525384,0.8929897566280965,0.704155020986195,False
zone_1_1,Björn Kuipers,directness,-0.20347485258539383,0.8538532656787429,0.8116469504833331,False
zone_1_1,Carlos del Cerro Grande,directness,3.956797746035093,7.621468145634652,0.60364584525859,False
zone_1_1,César Arturo Ramos Palazuelos,directness,0.2534465525072503,1.0536867350488512,0.8099169946785625,False
zone_1_1,Cüneyt Çakιr,directness,-0.3538264760826389,0.9028012654863201,0.6951168304779156,False
zone_1_1,Damir Skomina,directness,-0.60280432280145,1.1390313187179983,0.5966490879449693,False
zone_1_1,Gianluca Rocchi,directness,-0.6944168748609212,1.2243158463012103,0.5705866716375612,False
zone_1_1,Guillermo Cuadra Fernández,directness,0.6354999445094245,1.1388127453316164,0.5768189410022615,False
zone_1_1,Malang Diedhiou,directness,-0.006398562242704954,1.4965479584324335,0.9965886168621498,False
zone_1_1,Mark Geiger,directness,-0.7753900628812244,1.1229641035229612,0.4898891311555299,False
zone_1_1,Milorad Mažić,directness,-0.23361137602385823,0.9476619534637644,0.8052848279849043,False
zone_1_1,Néstor Fabián Pitana,directness,0.19595994252248605,0.8825836263113941,0.8242906177347017,False
zone_1_1,Sandro Ricci,directness,-0.46759663104295585,1.0774571545285454,0.664301768157608,False
zone_1_2,Andrés Cunha,directness,-0.2684435933371411,0.9053646884506529,0.7668457678351137,False
zone_1_2,Antonio Miguel Mateu Lahoz,directness,-1.0379772245246577,0.9557178765477073,0.27744769502044164,False
zone_1_2,Björn Kuipers,directness,-0.1098686743679463,0.989661320219015,0.9116033118523352,False
zone_1_2,Carlos del Cerro Grande,directness,-2.322054448299152,6.319162223013042,0.7132741415479427,False
zone_1_2,César Arturo Ramos Palazuelos,directness,0.7280751285277657,1.4050983425241117,0.6043419875313063,False
zone_1_2,Cüneyt Çakιr,directness,-0.9976901056797577,0.9649181370454065,0.30115324089126416,False
zone_1_2,Damir Skomina,directness,0.0711426365217445,1.0900463612892972,0.9479624531961698,False
zone_1_2,Gianluca Rocchi,directness,-0.6412881870788941,1.1657564713316406,0.5822475201685087,False
zone_1_2,Guillermo Cuadra Fernández,directness,19.38437528157503,14212.043861133556,0.9989117336595895,False
zone_1_2,Malang Diedhiou,directness,0.621439888528067,1.4443997219733176,0.667020386776385,False
zone_1_2,Mark Geiger,directness,-0.9811924166813817,1.1646572564619548,0.39952318712890467,False
zone_1_2,Milorad Mažić,directness,-0.5513074539398749,1.0871161621966274,0.612064746003401,False
zone_1_2,Néstor Fabián Pitana,directness,0.17619747267104027,0.9483454441561824,0.8526058309351847,False
zone_1_2,Sandro Ricci,directness,-0.7061287937446303,0.997840575287656,0.47915833273594155,False
zone_2_0,Andrés Cunha,directness,0.008805696843921643,0.9316979221073194,0.9924591170656979,False
zone_2_0,Antonio Miguel Mateu Lahoz,directness,-0.05152926109267843,0.9522832130328722,0.95684650735606,False
zone_2_0,Björn Kuipers,directness,-0.1489075591636689,0.9327336875955834,0.8731596394952765,False
zone_2_0,Carlos del Cerro Grande,directness,6.774123640094864,6.444924467856765,0.2932223882415419,False
zone_2_0,César Arturo Ramos Palazuelos,directness,0.30088512125116157,0.993098736632948,0.7619081222447054,False
zone_2_0,Cüneyt Çakιr,directness,-0.8387313039210901,0.9963378409305583,0.3998919839438385,False
zone_2_0,Damir Skomina,directness,-0.39334562248235555,1.0919848488601422,0.7186888917911562,False
zone_2_0,Gianluca Rocchi,directness,0.2461771347266237,1.370549292652685,0.8574514346228802,False
zone_2_0,Guillermo Cuadra Fernández,directness,-0.5195092016073483,1.2625397302461543,0.6807209790040354,False
zone_2_0,Malang Diedhiou,directness,0.3711676643495469,1.2053627412436922,0.7581353983752671,False
zone_2_0,Mark Geiger,directness,0.670292736930261,1.0919082051580349,0.5392993917251396,False
zone_2_0,Milorad Mažić,directness,0.5076210632844693,0.9982327350294267,0.6110888903623155,False
zone_2_0,Néstor Fabián Pitana,directness,0.6017306032205885,0.9256125541977529,0.5156346899009391,False
zone_2_0,Sandro Ricci,directness,0.014080472055152523,0.9611731652800803,0.9883120026076962,False
zone_2_1,Andrés Cunha,directness,-0.2086023995176317,0.8432042423713397,0.8046044834830914,False
zone_2_1,Antonio Miguel Mateu Lahoz,directness,-1.0520737319137667,0.8704348545735636,0.22678733958417907,False
zone_2_1,Björn Kuipers,directness,-0.18904360144717208,0.7928562225782979,0.8115447725380815,False
zone_2_1,Carlos del Cerro Grande,directness,-2.0205573600386604,5.819065637179613,0.7284181215988993,False
zone_2_1,César Arturo Ramos Palazuelos,directness,-0.974007361915224,1.0499439884280346,0.35357589743360507,False
zone_2_1,Cüneyt Çakιr,directness,0.00809130335894512,0.828631133449147,0.9922090503557169,False
zone_2_1,Damir Skomina,directness,0.06871468423732856,1.0057865096364758,0.94553141814654,False
zone_2_1,Gianluca Rocchi,directness,-1.4352712168259651,1.3625071318703474,0.292155618152776,False
zone_2_1,Guillermo Cuadra Fernández,directness,-4.394569528770618,4.782753490459729,0.3581809828626582,False
zone_2_1,Malang Diedhiou,directness,-0.19479162376291553,1.3257050722814678,0.8831838324303077,False
zone_2_1,Mark Geiger,directness,-0.5232033639918947,1.1624633284985697,0.6526515979743603,False
zone_2_1,Milorad Mažić,directness,-1.1531996280737185,1.179947311259628,0.3284050831447939,False
